Constituency,const no,leading candidate,leading party,Leading In,Won in,Trailing in,trailing candidate,trailing party,Leading in2,Won in3,Trailing in4,Margin,Status,State
Almora,3,AJAY TAMTA,Bharatiya Janata Party,0,5,0,PRADEEP TAMTA,Indian National Congress,0,0,0,234097,Result Declared,uttarkand
Garhwal,2,ANIL BALUNI,Bharatiya Janata Party,0,5,0,GANESH GODIYAL,Indian National Congress,0,0,0,163503,Result Declared,uttarkand
Haridwar,5,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,0,5,0,VIRENDRA RAWAT,Indian National Congress,0,0,0,164056,Result Declared,uttarkand
Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,0,5,0,PRAKASH JOSHI,Indian National Congress,0,0,0,334548,Result Declared,uttarkand
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,0,5,0,JOT SINGH GUNSOLA,Indian National Congress,0,0,0,272493,Result Declared,uttarkand
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,0,9,0,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,0,17,0,46357,Result Declared,Karanataka
Mandya,20,H.D. KUMARASWAMY,Janata Dal  (Secular),0,2,0,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,0,9,0,284620,Result Declared,Karanataka
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,0,17,0,M. LAKSHMANA,Indian National Congress,0,9,0,139262,Result Declared,Karanataka
Raichur,6,G. KUMAR NAIK.,Indian National Congress,0,9,0,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,0,17,0,79781,Result Declared,Karanataka
Shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,0,17,0,GEETHA SHIVARAJKUMAR,Indian National Congress,0,9,0,243715,Result Declared,Karanataka
Tumkur,19,V. SOMANNA,Bharatiya Janata Party,0,17,0,S.P. MUDDAHANUMEGOWDA,Indian National Congress,0,9,0,175594,Result Declared,Karanataka
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,0,17,0,K. JAYAPRAKASH HEGDE,Indian National Congress,0,9,0,259175,Result Declared,Karanataka
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,0,17,0,DR. ANJALI NIMBALKAR,Indian National Congress,0,9,0,337428,Result Declared,Karanataka
Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,0,17,0,SAMYUKTA SHIVANAND PATIL,Indian National Congress,0,9,0,68399,Result Declared,Karanataka
Bangalore central,25,P C MOHAN,Bharatiya Janata Party,0,17,0,MANSOOR ALI KHAN,Indian National Congress,0,9,0,32707,Result Declared,Karanataka
Bangalore North,24,SHOBHA KARANDLAJE,Bharatiya Janata Party,0,17,0,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,0,9,0,259476,Result Declared,Karanataka
Bangalore Rural,23,DR C N MANJUNATH,Bharatiya Janata Party,0,17,0,D K SURESH,Indian National Congress,0,9,0,269647,Result Declared,Karanataka
Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,0,17,0,SOWMYA REDDY,Indian National Congress,0,9,0,277083,Result Declared,Karanataka
Belgaum,2,JAGADISH SHETTAR,Bharatiya Janata Party,0,17,0,MRINAL R HEBBALKAR,Indian National Congress,0,9,0,178437,Result Declared,Karanataka
Bellary,9,E. TUKARAM,Indian National Congress,0,9,0,B. SREERAMULU,Bharatiya Janata Party,0,17,0,98992,Result Declared,Karanataka
Bidar,7,SAGAR ESHWAR KHANDRE,Indian National Congress,0,9,0,BHAGWANTH KHUBA,Bharatiya Janata Party,0,17,0,128875,Result Declared,Karanataka
Bijapur,4,RAMESH JIGAJINAGI,Bharatiya Janata Party,0,17,0,RAJU ALAGUR.,Indian National Congress,0,9,0,77229,Result Declared,Karanataka
Chamarajanagar,22,SUNIL BOSE,Indian National Congress,0,9,0,BALARAJ.S,Bharatiya Janata Party,0,17,0,188706,Result Declared,Karanataka
Chikkballapur,27,DR.K.SUDHAKAR,Bharatiya Janata Party,0,17,0,M.S. RAKSHA RAMAIAH,Indian National Congress,0,9,0,163460,Result Declared,Karanataka
Chikkodi,1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,0,9,0,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,0,17,0,90834,Result Declared,Karanataka
Chitradurga,18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,0,17,0,B.N.CHANDRAPPA,Indian National Congress,0,9,0,48121,Result Declared,Karanataka
Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,0,17,0,PADMARAJ.R.POOJARY,Indian National Congress,0,9,0,149208,Result Declared,Karanataka
Davanagere,13,DR. PRABHA MALLIKARJUN,Indian National Congress,0,9,0,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,0,17,0,26094,Result Declared,Karanataka
Dharwad,11,PRALHAD JOSHI,Bharatiya Janata Party,0,17,0,VINOD ASOOTI,Indian National Congress,0,9,0,97324,Result Declared,Karanataka
Gulbarga,5,RADHAKRISHNA,Indian National Congress,0,9,0,DR. UMESH G JADHAV,Bharatiya Janata Party,0,17,0,27205,Result Declared,Karanataka
Hassan,16,SHREYAS. M. PATEL,Indian National Congress,0,9,0,PRAJWAL REVANNA,Janata Dal  (Secular),0,2,0,42649,Result Declared,Karanataka
Haveri,10,BASAVARAJ BOMMAI,Bharatiya Janata Party,0,17,0,ANANDSWAMY GADDADEVARMATH,Indian National Congress,0,9,0,43513,Result Declared,Karanataka
Kolar,28,M. MALLESH BABU,Janata Dal  (Secular),0,2,0,K V GOWTHAM,Indian National Congress,0,9,0,71388,Result Declared,Karanataka
Ahmednagar,37,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,0,9,0,28929,Result Declared,Maharastra
Akola,6,ANUP SANJAY DHOTRE,Bharatiya Janata Party,0,9,0,ABHAY KASHINATH PATIL,Indian National Congress,0,13,0,40626,Result Declared,Maharastra
Amravati,7,BALWANT BASWANT WANKHADE,Indian National Congress,0,13,0,NAVNEET RAVI RANA,Bharatiya Janata Party,0,9,0,19731,Result Declared,Maharastra
Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,0,7,0,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,0,0,0,134650,Result Declared,Maharastra
Baramati,35,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,0,1,0,158333,Result Declared,Maharastra
Beed,39,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,0,9,0,6553,Result Declared,Maharastra
Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,0,13,0,SUNIL BABURAO MENDHE,Bharatiya Janata Party,0,9,0,37380,Result Declared,Maharastra
Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,0,9,0,66121,Result Declared,Maharastra
Buldhana,5,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,0,7,0,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,29479,Result Declared,Maharastra
Chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,0,13,0,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,0,9,0,260406,Result Declared,Maharastra
Dhule,2,BACHHAV SHOBHA DINESH,Indian National Congress,0,13,0,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,0,9,0,3831,Result Declared,Maharastra
Dindori,20,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,0,9,0,113199,Result Declared,Maharastra
Gadchiroli - Chimur,12,DR. KIRSAN NAMDEO,Indian National Congress,0,13,0,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,0,9,0,141696,Result Declared,Maharastra
Hatkanangale,48,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,0,7,0,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,13426,Result Declared,Maharastra
Hingoli,15,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,BABURAO KADAM KOHALIKAR,Shiv Sena,0,7,0,108602,Result Declared,Maharastra
Jalgaon,3,SMITA UDAY WAGH,Bharatiya Janata Party,0,9,0,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,251594,Result Declared,Maharastra
Jalna,18,KALYAN VAIJINATHRAO KALE,Indian National Congress,0,13,0,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,0,9,0,109958,Result Declared,Maharastra
Kalyan,24,DR SHRIKANT EKNATH SHINDE,Shiv Sena,0,7,0,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,209144,Result Declared,Maharastra
Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,0,13,0,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,0,7,0,154964,Result Declared,Maharastra
Latur,41,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,0,13,0,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,0,9,0,61881,Result Declared,Maharastra
Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,0,9,0,120837,Result Declared,Maharastra
Maval,33,SHRIRANG APPA CHANDU BARNE,Shiv Sena,0,7,0,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,96615,Result Declared,Maharastra
Mumbai North,26,PIYUSH GOYAL,Bharatiya Janata Party,0,9,0,BHUSHAN PATIL,Indian National Congress,0,13,0,357608,Result Declared,Maharastra
Mumbai North Central,29,GAIKWAD VARSHA EKNATH,Indian National Congress,0,13,0,ADV UJWAL NIKAM,Bharatiya Janata Party,0,9,0,16514,Result Declared,Maharastra
Mumbai North East,28,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,0,9,0,29861,Result Declared,Maharastra
Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,Shiv Sena,0,7,0,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,48,Result Declared,Maharastra
Mumbai South,31,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,YAMINI YASHWANT JADHAV,Shiv Sena,0,7,0,52673,Result Declared,Maharastra
Mumbai South Central,30,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,RAHUL RAMESH SHEWALE,Shiv Sena,0,7,0,53384,Result Declared,Maharastra
Nagpur,10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,0,9,0,VIKAS THAKRE,Indian National Congress,0,13,0,137603,Result Declared,Maharastra
Nanded,16,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,0,13,0,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,0,9,0,59442,Result Declared,Maharastra
Nandurbar,1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,0,13,0,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,0,9,0,159120,Result Declared,Maharastra
Nashik,21,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,GODSE HEMANT TUKARAM,Shiv Sena,0,7,0,162001,Result Declared,Maharastra
Osmanabad,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,0,1,0,329846,Result Declared,Maharastra
Palghar,22,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,0,9,0,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,183306,Result Declared,Maharastra
Parbhani,17,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,0,0,0,134061,Result Declared,Maharastra
Pune,34,MURLIDHAR MOHOL,Bharatiya Janata Party,0,9,0,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,0,13,0,123038,Result Declared,Maharastra
Raigad,32,TATKARE SUNIL DATTATREY,Nationalist Congress Party,0,1,0,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,82784,Result Declared,Maharastra
Ramtek,9,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,0,13,0,RAJU DEONATH PARVE,Shiv Sena,0,7,0,76768,Result Declared,Maharastra
Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,Bharatiya Janata Party,0,9,0,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,47858,Result Declared,Maharastra
Raver,4,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,0,9,0,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,272183,Result Declared,Maharastra
Sangli,44,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,0,1,0,SANJAY (KAKA) PATIL,Bharatiya Janata Party,0,9,0,100053,Result Declared,Maharastra
Satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,0,9,0,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,32771,Result Declared,Maharastra
Shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,LOKHANDE SADASHIV KISAN,Shiv Sena,0,7,0,50529,Result Declared,Maharastra
Shirur,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,0,1,0,140951,Result Declared,Maharastra
Solapur,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,0,13,0,RAM VITTHAL SATPUTE,Bharatiya Janata Party,0,9,0,74197,Result Declared,Maharastra
Thane,25,NARESH GANPAT MHASKE,Shiv Sena,0,7,0,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,217011,Result Declared,Maharastra
Wardha,8,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,0,8,0,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,0,9,0,81648,Result Declared,Maharastra
Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),0,9,0,RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,0,7,0,94473,Result Declared,Maharastra
Inner Manipur,1,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,0,2,0,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,0,0,0,109801,Result Declared,Manipur
Outer Manipur,2,ALFRED KANNGAM S ARTHUR,Indian National Congress,0,2,0,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,0,0,0,85418,Result Declared,Manipur
Aska,19,ANITA SUBHADARSHINI,Bharatiya Janata Party,0,20,0,RANJITA SAHU,Biju Janata Dal,0,0,0,99974,Result Declared,Odisha
Balasore,6,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,0,20,0,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,0,0,0,147156,Result Declared,Odisha
Bargarh,1,PRADEEP PUROHIT,Bharatiya Janata Party,0,20,0,PARINITA MISHRA,Biju Janata Dal,0,0,0,251667,Result Declared,Odisha
Berhampur,20,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,0,20,0,BHRUGU BAXIPATRA,Biju Janata Dal,0,0,0,165476,Result Declared,Odisha
Bhadrak,7,AVIMANYU SETHI,Bharatiya Janata Party,0,20,0,MANJULATA MANDAL,Biju Janata Dal,0,0,0,91544,Result Declared,Odisha
Bhubaneswar,18,APARAJITA SARANGI,Bharatiya Janata Party,0,20,0,MANMATH KUMAR ROUTRAY,Biju Janata Dal,0,0,0,35152,Result Declared,Odisha
Bolangir,10,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,0,20,0,SURENDRA SINGH BHOI,Biju Janata Dal,0,0,0,132664,Result Declared,Odisha
Cuttack,14,BHARTRUHARI MAHTAB,Bharatiya Janata Party,0,20,0,SANTRUPT MISRA,Biju Janata Dal,0,0,0,57077,Result Declared,Odisha
Dhenkanal,9,RUDRA NARAYAN PANY,Bharatiya Janata Party,0,20,0,ABINASH SAMAL,Biju Janata Dal,0,0,0,76567,Result Declared,Odisha
Jagatsinghpur,16,BIBHU PRASAD TARAI,Bharatiya Janata Party,0,20,0,DR. RAJASHREE MALLICK,Biju Janata Dal,0,0,0,40696,Result Declared,Odisha
Jajpur,8,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,0,20,0,SARMISTHA SETHI,Biju Janata Dal,0,0,0,1587,Result Declared,Odisha
Kalahandi,11,MALVIKA DEVI,Bharatiya Janata Party,0,20,0,LAMBODAR NIAL,Biju Janata Dal,0,0,0,133813,Result Declared,Odisha
Kandhamal,13,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,0,20,0,ACHYUTANANDA SAMANTA,Biju Janata Dal,0,0,0,21371,Result Declared,Odisha
Kendrapara,15,BAIJAYANT PANDA,Bharatiya Janata Party,0,20,0,ANSHUMAN MOHANTY,Biju Janata Dal,0,0,0,66536,Result Declared,Odisha
Keonjhar,4,ANANTA NAYAK,Bharatiya Janata Party,0,20,0,DHANURJAYA SIDU,Biju Janata Dal,0,0,0,97042,Result Declared,Odisha
Koraput,21,SAPTAGIRI SANKAR ULAKA,Indian National Congress,0,1,0,KAUSALYA HIKAKA,Biju Janata Dal,0,0,0,147744,Result Declared,Odisha
Mayurbhanj,5,NABA CHARAN MAJHI,Bharatiya Janata Party,0,20,0,SUDAM MARNDI,Biju Janata Dal,0,0,0,219334,Result Declared,Odisha
Nabarangpur,12,BALABHADRA MAJHI,Bharatiya Janata Party,0,20,0,PRADEEP KUMAR MAJHI,Biju Janata Dal,0,0,0,87536,Result Declared,Odisha
Puri,17,SAMBIT PATRA,Bharatiya Janata Party,0,20,0,ARUP MOHAN PATNAIK,Biju Janata Dal,0,0,0,104709,Result Declared,Odisha
Sambalpur,3,DHARMENDRA PRADHAN,Bharatiya Janata Party,0,20,0,PRANAB PRAKASH DAS,Biju Janata Dal,0,0,0,119836,Result Declared,Odisha
Sundargarh,2,JUAL ORAM,Bharatiya Janata Party,0,20,0,DILIP KUMAR TIRKEY,Biju Janata Dal,0,0,0,138808,Result Declared,Odisha
BALAGHAT,15,BHARTI PARDHI,Bharatiya Janata Party,0,29,0,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,0,0,0,174512,Result Declared,Madhya Pradhesh
BETUL,29,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,0,29,0,RAMU TEKAM,Indian National Congress,0,0,0,379761,Result Declared,Madhya Pradhesh
BHIND,2,SANDHYA RAY,Bharatiya Janata Party,0,29,0,PHOOL SINGH BARAIYA,Indian National Congress,0,0,0,64840,Result Declared,Madhya Pradhesh
BHOPAL,19,ALOK SHARMA,Bharatiya Janata Party,0,29,0,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,0,0,0,501499,Result Declared,Madhya Pradhesh
CHHINDWARA,16,BUNTY VIVEK SAHU,Bharatiya Janata Party,0,29,0,NAKUL KAMALNATH,Indian National Congress,0,0,0,113618,Result Declared,Madhya Pradhesh
DAMOH,7,RAHUL SINGH LODHI,Bharatiya Janata Party,0,29,0,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,0,0,0,406426,Result Declared,Madhya Pradhesh
DEWAS,21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,0,29,0,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,0,0,0,425225,Result Declared,Madhya Pradhesh
DHAR,25,SAVITRI THAKUR,Bharatiya Janata Party,0,29,0,RADHESHYAM MUVEL,Indian National Congress,0,0,0,218665,Result Declared,Madhya Pradhesh
GUNA,4,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,0,29,0,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,0,0,0,540929,Result Declared,Madhya Pradhesh
GWALIOR,3,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,0,29,0,PRAVEEN PATHAK,Indian National Congress,0,0,0,70210,Result Declared,Madhya Pradhesh
HOSHANGABAD,17,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,0,29,0,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,0,0,0,431696,Result Declared,Madhya Pradhesh
INDORE,26,SHANKAR LALWANI,Bharatiya Janata Party,0,29,0,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,0,0,0,1175092,Result Declared,Madhya Pradhesh
JABALPUR,13,ASHISH DUBEY,Bharatiya Janata Party,0,29,0,DINESH YADAV,Indian National Congress,0,0,0,486674,Result Declared,Madhya Pradhesh
KHAJURAHO,8,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,0,29,0,KAMLESH KUMAR,Bahujan Samaj Party,0,0,0,541229,Result Declared,Madhya Pradhesh
KHANDWA,28,GYANESHWAR PATIL,Bharatiya Janata Party,0,29,0,NARENDRA PATEL,Indian National Congress,0,0,0,269971,Result Declared,Madhya Pradhesh
KHARGONE,27,GAJENDRA SINGH PATEL,Bharatiya Janata Party,0,29,0,PORLAL BATHA KHARTE,Indian National Congress,0,0,0,135018,Result Declared,Madhya Pradhesh
MANDLA,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,0,29,0,OMKAR SINGH MARKAM,Indian National Congress,0,0,0,103846,Result Declared,Madhya Pradhesh
MANDSOUR,23,SUDHEER GUPTA,Bharatiya Janata Party,0,29,0,DILIP SINGH GURJAR,Indian National Congress,0,0,0,500655,Result Declared,Madhya Pradhesh
MORENA,1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,0,29,0,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,0,0,0,52530,Result Declared,Madhya Pradhesh
RAJGARH,20,RODMAL NAGAR,Bharatiya Janata Party,0,29,0,DIGVIJAYA SINGH,Indian National Congress,0,0,0,146089,Result Declared,Madhya Pradhesh
RATLAM,24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,0,29,0,KANTILAL BHURIA,Indian National Congress,0,0,0,207232,Result Declared,Madhya Pradhesh
REWA,10,JANARDAN MISHRA,Bharatiya Janata Party,0,29,0,NEELAM ABHAY MISHRA,Indian National Congress,0,0,0,193374,Result Declared,Madhya Pradhesh
SAGAR,5,DR. LATA WANKHEDE,Bharatiya Janata Party,0,29,0,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,0,0,0,471222,Result Declared,Madhya Pradhesh
SATNA,9,GANESH SINGH,Bharatiya Janata Party,0,29,0,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,0,0,0,84949,Result Declared,Madhya Pradhesh
SHAHDOL,12,SMT. HIMADRI SINGH,Bharatiya Janata Party,0,29,0,PHUNDE LAL SINGH MARKO,Indian National Congress,0,0,0,397340,Result Declared,Madhya Pradhesh
SIDHI,11,DR. RAJESH MISHRA,Bharatiya Janata Party,0,29,0,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,0,0,0,206416,Result Declared,Madhya Pradhesh
TIKAMGARH,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,0,29,0,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,0,0,0,403312,Result Declared,Madhya Pradhesh
UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,0,29,0,MAHESH PARMAR,Indian National Congress,0,0,0,375860,Result Declared,Madhya Pradhesh
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,0,29,0,PRATAPBHANU SHARMA,Indian National Congress,0,0,0,821408,Result Declared,Madhya Pradhesh
Alappuzha,15,K. C VENUGOPAL,Indian National Congress,0,14,0,A. M ARIFF,Communist Party of India  (Marxist),0,1,0,63513,Result Declared,Kerala
Alathur,9,K.RADHAKRISHNAN,Communist Party of India  (Marxist),0,1,0,RAMYA HARIDAS,Indian National Congress,0,14,0,20111,Result Declared,Kerala
Attingal,19,ADV ADOOR PRAKASH,Indian National Congress,0,14,0,V JOY,Communist Party of India  (Marxist),0,1,0,684,Result Declared,Kerala
Chalakudy,11,BENNY BEHANAN,Indian National Congress,0,14,0,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),0,1,0,63754,Result Declared,Kerala
Ernakulam,12,HIBI EDEN,Indian National Congress,0,14,0,K. J. SHINE TEACHER,Communist Party of India  (Marxist),0,1,0,250385,Result Declared,Kerala
Idukki,13,ADV. DEAN KURIAKOSE,Indian National Congress,0,14,0,ADV. JOICE GEORGE,Communist Party of India  (Marxist),0,1,0,133727,Result Declared,Kerala
Kannur,2,K. SUDHAKARAN,Indian National Congress,0,14,0,M.V. JAYARAJAN,Communist Party of India  (Marxist),0,1,0,108982,Result Declared,Kerala
Kasaragod,1,RAJMOHAN UNNITHAN,Indian National Congress,0,14,0,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),0,1,0,100649,Result Declared,Kerala
Kollam,18,N K PREMACHANDRAN,Revolutionary Socialist Party,0,1,0,M MUKESH,Communist Party of India  (Marxist),0,1,0,150302,Result Declared,Kerala
Kottayam,14,ADV K FRANCIS GEORGE,Kerala Congress,0,1,0,THOMAS CHAZHIKADAN,Kerala Congress  (M),0,0,0,87266,Result Declared,Kerala
Kozhikode,5,M. K. RAGHAVAN,Indian National Congress,0,14,0,ELAMARAM KAREEM,Communist Party of India  (Marxist),0,1,0,146176,Result Declared,Kerala
Malappuram,6,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,0,2,0,V. VASEEF,Communist Party of India  (Marxist),0,1,0,300118,Result Declared,Kerala
Mavelikkara,16,KODIKUNNIL SURESH,Indian National Congress,0,14,0,ADV ARUN KUMAR C A,Communist Party of India,0,0,0,10868,Result Declared,Kerala
Palakkad,8,V K SREEKANDAN,Indian National Congress,0,14,0,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),0,1,0,75283,Result Declared,Kerala
Pathanamthitta,17,ANTO ANTONY,Indian National Congress,0,14,0,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),0,1,0,66119,Result Declared,Kerala
Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,0,2,0,K.S HAMZA,Communist Party of India  (Marxist),0,1,0,235760,Result Declared,Kerala
